remove
Tex52
Gm45837
Gm45799
Trpc2
4632433K11Rik
Galr3
Gm49527
Gm49486
Gm4356
Taf9
Pou5f2
Gm28038
Jmjd7
Gm28042
Gm11037
Pet117
Gpr21
a
Fam187a
Olfr56
Gm45692
Capns2
Syce1l
1700042G07Rik
Gm49337
Gm20503
Fsbp
Gm12353
Txndc12
Tmppe
Gm28305
Hyal3
Utp14b
Gm28778
Gm28040
Gm49416
1810009A15Rik
Gm45928
4933411K16Rik
S100a2
Gm42669
Gm43518
Gm42421
3830406C13Rik
Gm49342
Rnase4
Gm21987
Gm49333
Gm21970
Gm49711
Rtl10
Rnf113a2
Snapc1l
Prps1l3
Gnal
Gm49322
Gm48551
Gm48552
Gm49358
Galnt4
Eid3
mt-Co3
9930111J21Rik1
Commd1b
Fem1al
Efcab15
Cep295nl
Gm49601
Gm13889
Gm27027
Gm20431
Gm28036
Gm45902
Fastkd5
Oxct2a
Rsc1a1
Gm49380
Gm20538
Gm21992
Gm28374
1700020D05Rik
Gm50241
1190005I06Rik
Gm27021
Gm20422
Gm20441
Gbp8
Gm43302
Gm20671
Gm26938
Gm29609
Gm42791
Gm43552
Gm43552
Gm49027
Poln
Papolb
Gm49804
Gm50367
Ntn3
Gm4707
Gm17657
Ldhal6b
Gm49383
Gm20403
Gm44805
Omp
Gm49369
Gm45808
Fam189a1
Gm45713
Gm42742
Gm45717
Nccrp1
Snurf
Gm49391
Gm49391
Hus1b
Gm49345
Gm49354
Gm49395
Shld3
Gm42417
Gm50478
Gpr52
Gm38394
Gm128
Gm43738
Lenep
Gm43191
Gm38392
Npcd
Gm29394
Gm49450
Gm45140
Gja6
Yy2
mt-Atp6
mt-Nd4
Nup62
