remove
Ugt1a10
Ugt1a8
Ugt1a9
Ugt1a6a
Ugt1a5
Ugt1a2
Ugt1a1
Scamp4
H2aw
4933427D14Rik
Gm20708
3110001I22Rik
Maskbp3
Pcdhga1
Pcdhga3
Pcdhga4
Pcdhgb2
Pcdhga5
Pcdhga6
Pcdhga6
Pcdhga7
Pcdhga8
Pcdhga8
Pcdhgb5
Pcdhgb6
Pcdhga10
Pcdhgb7
Pcdhga11
Pcdhga12
Pcdhgc4
Pcdhgc5
Pcdhga2
Pcdhgb1
Pcdhgb4
Pcdhga9
AL731706.1
Gm37240
Galnt2l
C1qtnf5
Armcx5
Prnp
