1.1.1.1,1.1.1.2,1.1.1.3,1.1.2.1,1.1.2.2,1.1.3.1,1.1.3.2,1.1.4.0,1.1.5.0,1.1.6.0,1.1.7.1,1.1.7.2,1.1.7.3,1.1.7.4,1.1.7.5,1.1.8.1,1.1.8.2,1.1.0.1,1.1.0.2,1.2.1.0,1.2.2.1,1.2.2.2,1.2.3.1,1.2.3.2,1.2.3.3,1.2.3.4,1.2.3.5,1.2.4.1,1.2.5.1,1.2.5.2,1.2.5.3,1.2.5.4,1.2.5.5,1.2.6.1,1.2.6.2,1.2.6.3,1.2.6.4,1.2.6.5,1.2.6.6,1.2.6.7,1.2.8.0,1.3.1.0,2.1.1.1,2.1.1.2,2.1.2.1,2.1.2.2,2.1.2.3,2.1.2.4,2.1.2.5,2.1.2.6,2.1.2.7,2.1.3.1,2.1.3.2,2.1.3.3,2.1.3.4,2.1.3.5,2.1.4.0,2.1.5.0,2.1.6.0,2.1.7.0,2.2.1.1,2.2.1.2,2.3.1.1,2.3.1.2,2.3.1.3,2.3.2.1,2.3.2.2,2.3.2.3,2.3.2.4,2.3.3.1,2.3.3.2,2.3.3.3,2.3.3.4,2.3.3.5,2.3.3.6,2.3.3.7,2.3.3.8,2.3.3.9,2.3.3.10,2.3.3.11,2.3.3.12,2.3.3.13,2.3.3.14,2.3.3.15,2.3.3.16,2.3.3.17,2.3.3.18,2.3.3.19,2.3.3.20,2.3.3.21,2.3.3.22,2.3.3.23,2.3.3.24,2.3.3.25,2.3.3.26,2.3.3.27,2.3.3.28,2.3.3.29,2.3.3.30,2.3.3.31,2.3.3.32,2.3.3.33,2.3.3.34,2.3.3.35,2.3.3.36,2.3.3.37,2.3.3.38,2.3.3.39,2.3.3.40,2.3.3.41,2.3.3.42,2.3.3.43,2.3.3.44,2.3.3.45,2.3.3.46,2.3.3.47,2.3.3.48,2.3.3.49,2.3.3.50,2.3.3.51,2.3.3.52,2.3.3.53,2.3.3.54,2.3.3.55,2.3.3.56,2.3.3.57,2.3.3.58,2.3.3.59,2.3.3.60,2.3.3.61,2.3.3.62,2.3.3.63,2.3.3.64,2.3.3.65,2.3.3.66,2.3.3.67,2.3.3.68,2.3.3.69,2.3.3.70,2.3.3.71,2.3.3.72,2.3.3.73,2.3.3.74,2.3.3.75,2.3.3.76,2.3.3.77,2.3.3.78,2.3.3.79,2.3.3.80,2.3.3.0,2.3.4.1,2.3.4.2,2.3.4.3,2.3.4.4,2.3.4.5,2.3.4.6,2.3.4.7,2.3.4.8,2.3.4.9,2.3.4.10,2.3.4.11,2.3.4.12,2.3.4.13,2.3.4.14,2.3.4.15,2.3.4.16,2.3.4.17,2.3.4.18,2.3.4.19,2.3.4.20,2.3.4.21,2.3.4.22,2.3.4.23,2.3.4.24,2.3.4.25,2.3.4.0,2.3.5.0,2.4,2.5.1.0,2.6.1.0,2.7.1.0,2.7.2.0,2.7.3.0,2.7.4.0,2.7.5.0,2.8.1.0,2.8.2.0,2.8.3.0,2.8.4.0,2.9.1.0,3.1.1.1,3.1.1.2,3.1.1.3,3.1.1.4,3.1.1.5,3.1.1.6,3.1.1.7,3.1.1.8,3.1.1.9,3.1.1.10,3.1.1.11,3.1.1.12,3.1.1.13,3.1.1.14,3.1.1.15,3.1.2.1,3.1.2.2,3.1.2.3,3.1.2.4,3.1.2.5,3.1.2.6,3.1.2.7,3.1.2.8,3.1.2.9,3.1.2.10,3.1.2.11,3.1.2.12,3.1.2.13,3.1.2.14,3.1.2.15,3.1.2.16,3.1.2.17,3.1.2.18,3.1.2.19,3.1.2.20,3.1.2.21,3.1.2.22,3.1.2.23,3.1.3.1,3.1.3.2,3.1.3.3,3.1.3.4,3.1.3.5,3.1.3.6,3.1.3.7,3.1.3.8,3.1.3.9,3.1.3.10,3.1.3.11,3.1.3.12,3.1.3.13,3.1.3.14,3.1.3.15,3.1.3.16,3.1.3.17,3.1.3.18,3.1.3.19,3.1.3.20,3.1.3.21,3.1.3.22,3.1.3.23,3.1.3.24,3.1.3.25,3.1.3.26,3.1.3.27,3.1.3.28,3.1.4.1,3.1.4.2,3.1.4.3,3.1.4.4,3.1.4.5,3.1.4.6,3.1.5.1,3.1.5.2,3.1.5.3,3.1.5.4,3.1.5.5,3.1.5.6,3.1.6.1,3.1.6.2,3.1.6.3,3.1.7.0,3.1.8.1,3.1.8.2,3.1.8.3,3.1.8.4,3.1.8.5,3.1.9.1,3.1.9.2,3.1.9.3,3.1.10.1,3.1.10.2,3.1.10.3,3.1.10.4,3.1.10.5,3.1.10.6,3.1.10.7,3.1.10.8,3.1.11.0,3.2.1.1,3.2.1.2,3.2.2.1,3.2.2.2,3.3.1.1,3.3.1.2,3.3.1.3,3.3.1.4,3.3.1.5,3.3.1.6,3.3.1.7,3.3.1.8,3.3.1.9,3.3.1.10,3.3.1.11,3.3.1.12,3.3.1.13,3.3.1.14,3.3.1.15,3.3.1.16,3.3.1.17,3.3.1.18,3.3.1.19,3.3.2.1,3.3.2.2,3.3.3.0,3.4.1.0,3.5.1.1,3.5.1.2,3.5.1.3,3.5.1.4,3.5.1.5,3.5.1.6,3.5.1.7,3.5.2.1,3.5.2.2,3.5.2.3,3.5.2.4,3.5.2.5,3.5.2.6,3.5.2.7,3.6.1.0,3.7.1.1,3.7.1.2,3.7.1.3,3.7.1.4,3.7.1.5,3.7.1.6,3.7.1.7,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.4,4.1.1.5,4.1.1.6,4.1.1.7,4.1.1.8,4.1.1.9,4.1.2.0,4.1.3.0,4.1.4.0,4.1.5.0,4.1.6.1,4.1.6.2,4.1.7.0,4.2.1.0,5.1.1.1,5.1.2.0,5.2.1.0,5.3.1.0,5.3.2.0,5.3.3.1,5.3.4.0,5.3.5.1,5.3.5.2,6.1.1.1,6.1.1.2,6.1.2.1,6.1.2.2,6.1.3.0,6.1.4.1,6.1.5.0,6.2.1.0,6.3.1.0,6.4.1.0,6.5.1.0,6.5.2.0,6.5.3.0,6.5.4.0,6.5.5.0,6.6.1.0,6.7.1.1,6.7.2.0,7.1.1.1,7.1.1.2,7.1.1.3,7.1.2.0,7.2.1.0,8.1.1.0,8.2.1.0,9.1.1.1,9.1.1.2,9.1.1.3,0.1.1.0,0.2.1.0,0.3.1.0,0.4.1.0,0.0.1.0,0.0.2.0,0.0.3.0,0.0.4.0,0.0.5.0,0.0.6.0
,,,,,,,,,,,,,,,,,,,,,,,,,Bhlhe22,,Bhlhe40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atrx,,Klf11,,,,,,Zic5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp746,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp827,,,,,,,,,,,,,,,,,,,,,,Hoxc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cramp1l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Bhlhe23,,Bhlhe41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trps1,,Klf12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb44,,,,,,,,,,,,,,,,,,,,,,,,,,Prdm13,,,,,,,,,,,,,,,,,,,,,,Hoxd12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elmsan1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Olig1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klf13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp655,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp646,,,,,,,,,,,,,,,,,,,,,,Hoxa13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Olig2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klf14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp131,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp579,,,,,,,,,,,,,,,,,,,,,,Hoxb13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Olig3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klf15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prdm14,,,,,,,,,,,,,,,,,,,,,,,,,,Rreb1,,,,,,,,,,,,,,,,,,,,,,Hoxc13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Bhlha15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klf16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp575,,,,,,,,,,,,,,,,,,,,,,,,,,Prdm2,,,,,,,,,,,,,,,,,,,,,,Hoxd13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ferd3l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klf17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb49,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klf18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp691,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zkscan14,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp449,,,,,,,,,,,,,,,,,,,,,,,,,,Trps1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zscan25,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zscan30,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zscan21,,,,,,,,,,,,,,,,,,,,,,,,,,Peg3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mynn,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb24,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp92,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp202,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zscan26,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zscan22,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp1,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb16,,,,,,,,,,,,,,,,,,,,,,,,,,Prdm4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gtf3a,,,,,,,,,,,,,,,,,,,,,,,,,,Prdm15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp64,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp358,,,,,,,,,,,,,,,,,,,,,,,,,,Prdm10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp263,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
